weight_bits,activation_bits,top1,size_mb,model_cr,weight_cr,activation_cr
8,8,93.83,2.449,3.65,3.88,4.0
8,6,92.53,2.449,3.65,3.88,5.33
8,4,11.98,2.449,3.65,3.88,8.0
6,8,93.65,1.901,4.71,5.12,4.0
6,6,91.93,1.901,4.71,5.12,5.33
6,4,15.34,1.901,4.71,5.12,8.0
4,8,90.85,1.354,6.61,7.53,4.0
4,6,89.28,1.354,6.61,7.53,5.33
4,4,17.25,1.354,6.61,7.53,8.0
3,8,40.73,1.08,8.28,9.85,4.0
3,6,39.9,1.08,8.28,9.85,5.33
3,4,10.43,1.08,8.28,9.85,8.0
2,8,10.0,0.807,11.09,14.23,4.0
2,6,9.38,0.807,11.09,14.23,5.33
2,4,9.9,0.807,11.09,14.23,8.0
